# Premarket exit-timing gap seed (Initiative 3 execution pivot, 2026-08-10).
# Log-only. Held names whose PM spike fired after our 10:30 CET (04:30 ET) exit
# but still inside premarket. exitZ = actual SIP fill time (UTC) from broker.js.
# gap is computed live from SIP bars, CAPPED at 09:30 ET (13:30Z) — never counts
# regular-session prices, since our rules forbid holding into the open.
date,ticker,entry,exit,exitZ,note
2026-08-06,PAVS,6.61,6.65,2026-08-06T08:31:29Z,held 08-05 AH -> exited 04:31 ET at breakeven
2026-08-06,CELZ,0.89,0.8339,2026-08-06T08:31:01Z,held 08-05 AH -> exited 04:31 ET at a loss
2026-08-11,WAFU,1.94,2.10,2026-08-11T08:31:15Z,Grade None exit 04:31 ET +8.2%; PM peak $2.30 05:05 ET then faded to PM-last $1.65
2026-08-11,MTEN,1.39,1.35,2026-08-11T08:31:15Z,Grade None exit 04:31 ET; PM peak $1.45 05:40 ET; PM-last $1.31
2026-08-11,MGIH,2.12,2.02,2026-08-11T08:31:17Z,Grade None exit 04:31 ET; genuine liquid PM spike to $2.70 07:30 ET (2.9M sh 23.7k trades) then crash to $1.61 next bar
2026-08-12,BAOS,0.90,2.24,2026-08-12T08:30:51Z,Grade None exit 04:31 ET +148.9%; PM peak $2.51 04:35 ET then crashed to PM-last $1.16 (-48%)
2026-08-12,BOXL,4.01,5.83,2026-08-12T08:30:52Z,Grade None exit 04:31 ET +45.4%; PM peak $6.80 05:05 ET then faded to PM-last $4.52 (-22%)
2026-08-12,FF,6.28,6.20,2026-08-12T08:30:54Z,Grade B day-2 exit 04:31 ET; PM peak $6.43 06:30 ET; PM-last $6.25 (+0.8%, held)
2026-08-13,GXAI,1.42,1.28,2026-08-13T08:30:31Z,Grade C exit 04:30 ET -9.9%; PM peak $1.56 05:35 ET (+21.9%, 1.8M sh 7.5k trades) then faded to PM-last $1.33 (+3.9%)
2026-08-18,DARE,1.70,0.83,2026-08-18T08:31:08Z,Grade B Day-5 exit 04:31 ET -51%; dead book, PM peak only $0.834 04:45 ET (+0.5%); no premarket upside
2026-08-18,GRSD,2.17,2.01,2026-08-18T08:31:09Z,Grade B Day-5 exit 04:31 ET; PM peak $2.16 04:35 ET (+7.4%) then back to exit; lim10 unfilled
2026-08-18,ONFO,3.02,2.26,2026-08-18T08:31:09Z,Grade B Day-4 exit 04:31 ET -25%; dead book, PM peak $2.28 04:50 ET (+0.9%); PM-last $2.17
2026-08-18,SGLY,7.01,5.35,2026-08-18T08:31:10Z,None exit 04:31 ET -24%; genuine premarket spike to $9.83 04:50 ET (+83.7%) then faded to PM-last $7.49; lim10 filled
2026-08-18,XOS,4.54,3.48,2026-08-18T08:31:10Z,Grade B exit 04:31 ET -23%; PM peak $4.36 05:55 ET (+25.3%); PM-last $4.13; lim10 filled
2026-08-19,MSS,1.90,2.20,2026-08-19T08:30:44Z,Grade None green exit 04:31 ET +15.8%; PM peak $2.44 04:45 ET (+10.9%) then faded to PM-last $2.13; lim10 filled
2026-08-19,TNON,8.69,9.74,2026-08-19T08:30:46Z,Grade None green exit 04:31 ET +12.1%; PM peak $11.44 04:35 ET (+17.5%) then faded to PM-last $9.50; lim10 filled
2026-08-20,BTOG,1.25,0.76,2026-08-20T08:30:39Z,Grade D exit 04:30 ET -39%; dead book, PM peak only $0.7694 04:40 ET (+1.2%, thin 9.3k sh); lim10 unfilled, faded to PM-last $0.7305
2026-08-20,LOOP,1.36,1.11,2026-08-20T08:30:39Z,Grade None exit 04:30 ET -18%; PM peak $1.16 04:35 ET (+4.5%, 203k sh) then dumped to PM-last $0.882; lim10 unfilled
